disease,doctor_specialty
Orthostatic hypotension (postural hypotension),General Physician
Osgood-Schlatter disease,General Physician
Osteosarcoma,General Physician
Osteoporosis,General Physician
Peripheral artery disease (PAD),General Physician
Popliteal artery entrapment syndrome,General Physician
Paget's disease of bone,Orthopedic
Paget's disease of the breast,General Physician
Panic attacks and panic disorder,General Physician
Parkinson's disease,General Physician
Salivary gland tumors,Oncologist
Patent ductus arteriosus (PDA),General Physician
Pelvic inflammatory disease (PID),General Physician
Uterine prolapse,General Physician
Pemphigus,General Physician
Peptic ulcer,General Physician
Perimenopause,General Physician
Peritonitis,General Physician
Persistent post-concussive symptoms (Post-concussion syndrome),General Physician
Schizotypal personality disorder,General Physician
Whooping cough,General Physician
Sore throat,General Physician
Thrombophlebitis,General Physician
Pinched nerve,General Physician
Pinworm infection,Infectious Disease
Pituitary tumors,Oncologist
Placental abruption,General Physician
Plague,General Physician
Plantar warts,General Physician
Poison ivy rash,General Physician
Polio,General Physician
Polycythemia vera,General Physician
Polymyalgia rheumatica,General Physician
Polymyositis,General Physician
Stomach polyps,Gastroenterologist
Porphyria,General Physician
Posterior vaginal prolapse (rectocele),General Physician
Postpartum preeclampsia,General Physician
Premature ejaculation,General Physician
Primary ovarian insufficiency,General Physician
Presbyopia,General Physician
Prescription drug abuse,General Physician
Primary immunodeficiency,General Physician
Proctitis,General Physician
Progressive supranuclear palsy,General Physician
Prolactinoma,General Physician
Prostatitis,General Physician
Pseudogout,General Physician
Psoriasis,General Physician
Pulmonary atresia,General Physician
Pulmonary valve stenosis,General Physician
Pyloric stenosis,General Physician
Pyoderma gangrenosum,General Physician
Rabies,General Physician
Raynaud's disease,General Physician
Recurrent breast cancer,Oncologist
REM sleep behavior disorder,General Physician
Respiratory syncytial virus (RSV),Infectious Disease
Restless legs syndrome,General Physician
Retrograde ejaculation,General Physician
Rett syndrome,General Physician
Reye's syndrome,General Physician
Rheumatic fever,General Physician
Tinnitus,General Physician
Ringworm (body),General Physician
Rocky Mountain spotted fever,General Physician
Rosacea,General Physician
Rotator cuff injury,General Physician
Rotavirus,Infectious Disease
Seasonal affective disorder (SAD),General Physician
Sarcoidosis,General Physician
Small intestinal bacterial overgrowth (SIBO),General Physician
Spontaneous coronary artery dissection (SCAD),General Physician
Scarlet fever,General Physician
Schizoaffective disorder,General Physician
Schizophrenia,General Physician
Spinal cord injury,General Physician
Sciatica,General Physician
Scorpion sting,General Physician
Separation anxiety disorder,General Physician
Sepsis,General Physician
Ventricular septal defect (VSD),General Physician
Serotonin syndrome,General Physician
Sexually transmitted diseases (STDs),General Physician
Shigella infection,Infectious Disease
Sleep apnea,General Physician
Obstructive sleep apnea,General Physician
Sleep-related eating disorder,General Physician
Small bowel prolapse (enterocele),General Physician
Snoring,General Physician
Soft palate cancer,Oncologist
Somatic symptom disorder,General Physician
Spider bites,General Physician
Spina bifida,General Physician
Spinal arteriovenous malformation (AVM),General Physician
Spinal stenosis,General Physician
Stage 4 prostate cancer,Oncologist
Staph infections,Infectious Disease
Trigger finger,General Physician
Strep throat,General Physician
Stress incontinence,General Physician
Stretch marks,General Physician
Suicide and suicidal thoughts,General Physician
Sun allergy,General Physician
Sunburn,General Physician
Swollen knee,General Physician
Syphilis,General Physician
Tapeworm infection,Infectious Disease
Tay-Sachs disease,General Physician
Tuberculosis,General Physician
TMJ disorders,General Physician
TEN,General Physician
Tendinitis,General Physician
Testicular torsion,General Physician
Transient ischemic attack (TIA),General Physician
Tonsil cancer,Oncologist
Tonsillitis,General Physician
Tooth abscess,General Physician
Tourette syndrome,General Physician
Toxic shock syndrome,General Physician
Toxoplasmosis,General Physician
Trachoma,General Physician
Transposition of the great arteries,General Physician
Traumatic brain injury,Neurologist
Trichinosis,General Physician
Trichomoniasis,General Physician
Tricuspid atresia,General Physician
Tricuspid valve regurgitation,General Physician
Truncus arteriosus,General Physician
Tuberous sclerosis,General Physician
Turner syndrome,General Physician
Typhoid fever,General Physician
Ureteral cancer,Oncologist
Urinary tract infection (UTI),Infectious Disease
Urine color,General Physician
Varicose veins,General Physician
Ventricular fibrillation,General Physician
Ventricular tachycardia,General Physician
Vocal cord paralysis,General Physician
Von Willebrand disease,General Physician
West Nile virus,Infectious Disease
Yellow fever,General Physician
Zika virus,Infectious Disease
